Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Ozar,Niphad,17.89,Black_Red_Mixed,7,Commercial,1,1,62,11.3,Well,7,1,0,1135000,1021500
Shirsathe,Sinnar,7.68,Red,7,Agricultural,0,1,30,19.8,None,7,1,1,98500,99500
Ozar,Niphad,9.8,Black_Red_Mixed,7,Commercial,1,1,92,12.1,River,4,1,0,1328500,1265000
Gangapur,Nashik,19.12,Black_Red_Mixed,5,NA,1,0,11,27.6,None,6,0,0,654500,693000
Kalwan,Chandwad,18.65,Red,5,Residential,1,1,84,27.1,Well,6,5,0,146500,140000
Waghad,Nashik,4.21,Red,4,Agricultural,1,1,30,16.9,Canal,5,5,1,402500,390000
Ambad,Nashik,16.68,Black,10,Agricultural,0,1,70,11.4,Borewell,1,4,0,510000,442500
Shedbol,Yeola,14.73,Black,7,Commercial,1,1,53,29.6,None,2,1,0,305500,296000
Nandur,Nashik,22.94,Black,8,Commercial,0,1,20,10.7,None,8,0,0,2157500,1791500
Mulegaon,Sinnar,9.29,Black,9,Commercial,1,0,50,27.2,Borewell,4,5,0,679500,604000
Vadgaon,Nashik,8.6,Black,10,NA,0,0,89,0.4,Canal,5,3,0,1293000,1362000
Nandur,Nashik,1.14,Black_Red_Mixed,8,Agricultural,1,1,64,12.3,Well,6,5,0,520000,548500
Saundane,Niphad,6.85,Red,3,Residential,1,1,24,0.8,Borewell,2,1,0,735500,757500
Gangapur,Nashik,14.4,Black,7,Residential,0,0,53,26.1,Canal,3,4,0,1145000,1067500
Thergaon,Chandwad,15.87,Black,7,NA,0,0,20,5.6,River,2,0,0,165500,165000
Kherwadi,Sinnar,1.49,Black,9,NA,0,1,100,29.6,Canal,3,3,0,468000,468000
Nandur Madhyameshwar,Sinnar,11.2,Black_Red_Mixed,5,Agricultural,0,0,79,17.3,Borewell,2,5,0,122000,112000
Karanjwan,Niphad,18.97,Black,10,NA,1,1,74,19.3,Borewell,5,2,0,694000,767000
Pale,Sinnar,7.22,Black,7,Agricultural,0,1,89,22.7,Well,8,0,1,152000,161500
Mungse,Sinnar,14.81,Red,5,NA,1,1,82,7.9,River,8,2,0,574000,565000
Kotamgaon,Nashik,7.68,Black_Red_Mixed,6,Agricultural,0,1,62,14,Well,7,3,1,338000,338500
Gangapur,Nashik,3.77,Red,6,Commercial,1,1,58,29.7,Canal,7,2,0,3325500,3374000
Pimpalgaon Rotha,Yeola,3.99,Red,4,Agricultural,1,0,53,6,Well,3,2,1,80500,69000
Nagarsul,Chandwad,5.89,Black_Red_Mixed,8,Agricultural,1,0,95,1.9,None,2,2,0,77500,76000
Pandavleni,Sinnar,6.07,Red,4,Agricultural,0,1,30,10.2,Well,10,3,0,143000,136000
Khambale,Sinnar,7.23,Black_Red_Mixed,6,Agricultural,1,0,67,11.2,Borewell,6,5,0,171500,159500
Savargaon,Chandwad,15.94,Red,6,Residential,1,1,52,21,None,6,5,0,106500,104500
Kelzar,Chandwad,15.33,Red,4,Agricultural,1,0,75,26.4,Well,3,4,0,62000,70000
Shirsathe,Sinnar,15.16,Red,5,Agricultural,1,0,45,21.4,Well,1,3,0,155500,162500
Mungse,Sinnar,9.07,Black_Red_Mixed,6,Residential,1,1,50,18.2,Canal,4,4,0,474000,455000
Deolali,Nashik,18.45,Black,9,Agricultural,1,1,11,9,Borewell,5,0,0,778000,800000
Umbarkhed,Sinnar,2.2,Black_Red_Mixed,6,Agricultural,1,0,66,22.8,Borewell,5,3,0,181000,198500
Shedbol,Yeola,7.3,Black_Red_Mixed,7,Commercial,0,1,80,14.4,Borewell,7,4,0,371500,395500
Trimbak Road,Nashik,10.04,Black,7,NA,0,1,15,26.5,Borewell,3,3,0,842500,846000
Vinchur,Niphad,2.78,Black,8,Agricultural,1,1,20,12.4,River,8,3,0,322000,307500
Devdhari,Sinnar,17.44,Black_Red_Mixed,5,Residential,1,0,43,6.9,Borewell,9,0,0,483000,506500
Vithapur,Yeola,12.1,Black,8,Commercial,1,0,50,9.8,River,7,0,0,471000,484000
Nashik Road,Nashik,16.82,Black_Red_Mixed,5,Agricultural,1,0,84,14.8,Well,2,4,1,345500,367000
Mulegaon,Sinnar,10.08,Black,7,Commercial,1,0,81,11.3,Well,4,4,0,650000,679000
Abhona,Niphad,9.97,Black_Red_Mixed,8,Agricultural,1,1,75,23.1,Borewell,2,0,0,361000,387500
Ozar,Niphad,5.2,Black_Red_Mixed,7,Residential,1,1,48,10.9,Borewell,4,4,1,480500,462500
Karanjkhed,Yeola,12.9,Black,8,Residential,1,0,59,21.6,Well,7,4,0,185000,202000
Borgaon,Chandwad,14.13,Black,8,Agricultural,0,0,13,18.6,None,5,0,0,48000,48500
Panchak,Nashik,24.04,Black,9,Agricultural,0,1,57,2.4,Well,1,2,0,590500,676500
Umrane,Chandwad,3.76,Black_Red_Mixed,6,Agricultural,1,1,13,26.4,None,3,0,0,66000,63000
Shedbol,Yeola,21.78,Black_Red_Mixed,7,Agricultural,1,1,98,4.7,Borewell,7,0,0,150000,150000
Ozar,Nashik,10.46,Red,7,Residential,1,1,45,21.3,River,4,2,0,1583500,1605500
Mhasrul,Nashik,6.06,Black_Red_Mixed,5,Commercial,0,1,65,16.8,River,4,5,1,1926500,1838500
Devpur,Niphad,2.44,Black,10,Agricultural,1,1,80,16.3,Well,6,3,0,311500,301000
Ozar,Nashik,24.59,Red,4,Residential,1,1,79,12.3,None,2,4,0,825000,806500
Devpur,Niphad,16.23,Black_Red_Mixed,6,Residential,0,1,90,4.4,Well,3,4,0,542500,558500
Karanjkhed,Yeola,20.66,Black,10,Residential,1,1,76,3.2,Borewell,9,5,1,239500,248500
Nampur,Yeola,12.36,Black,9,Agricultural,1,1,60,6.7,Well,7,5,0,116000,111500
Kasbe Sukene,Niphad,4.1,Black_Red_Mixed,6,Residential,1,1,23,14.9,None,5,1,0,415000,414500
Mhasrul,Nashik,13.66,Black,8,Agricultural,0,0,33,24.8,Canal,2,2,0,443000,509500
Devpur,Niphad,16.62,Black,9,Agricultural,1,1,89,17.7,Well,10,4,0,283000,317000
Deolali,Nashik,12.62,Black,9,Residential,1,1,78,23.1,Well,10,4,1,1122000,1156500
Borgaon,Chandwad,24.87,Black,10,Residential,0,0,21,2.6,River,2,3,0,207000,207500
Girnare,Nashik,24.6,Black,9,NA,1,1,88,12.4,Borewell,3,4,1,1022500,1031000
Dhodambe,Yeola,11.25,Black_Red_Mixed,8,Agricultural,1,1,78,19.6,Borewell,10,0,0,146500,150000
Ozar,Nashik,7.51,Black,9,NA,1,1,19,6.1,Well,1,3,0,1233500,1145000
Pimpalgaon Rotha,Yeola,19.37,Black,8,Agricultural,1,1,73,6.9,Well,2,0,0,150000,147500
Kasarwadi,Niphad,14.18,Black_Red_Mixed,7,Residential,1,1,98,11.1,Canal,7,3,0,708000,625500
Vadgaon,Nashik,1.91,Black,9,Agricultural,1,0,27,3.7,Borewell,10,1,0,708500,728500
Waghad,Nashik,9.49,Black,7,Commercial,1,1,24,16.8,Borewell,3,2,0,3098000,3238500
Yeola,Yeola,9.45,Black_Red_Mixed,5,Agricultural,1,1,11,9.2,River,6,1,1,108000,104500
Karanjkhed,Yeola,16.68,Black_Red_Mixed,6,Agricultural,1,1,79,25.8,Borewell,3,4,0,106500,118000
Umrane,Yeola,12.96,Red,7,Agricultural,1,1,90,10.9,Borewell,5,3,0,129000,118000
Trimbak Road,Nashik,19.57,Black,9,Agricultural,1,1,26,14.4,None,9,3,0,413000,370500
Pimpalgaon Rotha,Yeola,6.22,Black_Red_Mixed,8,Residential,1,0,18,16.9,River,3,5,0,190500,193500
Pathardi,Nashik,11.75,Red,5,Agricultural,1,1,49,25.7,Well,8,3,0,482000,517500
Borwadi,Yeola,17.46,Red,7,NA,1,0,53,2.8,Well,6,4,0,208000,232500
Pale,Sinnar,15.82,Red,5,NA,0,1,51,27.2,Canal,6,2,0,405000,392000
Vadgaon,Nashik,7.14,Black_Red_Mixed,6,Residential,1,0,98,8.9,Canal,6,5,0,1269500,1365500
Ozar,Nashik,14.65,Black,9,NA,0,1,53,5.6,Canal,8,2,0,1250000,1246500
Pathardi,Nashik,23.33,Black_Red_Mixed,7,Agricultural,1,0,58,24.4,None,1,0,0,380500,376000
Borgaon,Chandwad,11.51,Red,7,Residential,1,1,44,1.6,Well,8,4,0,210500,223500
Trimbak Road,Nashik,3.21,Black,9,Residential,1,0,18,8.4,Canal,5,1,0,1660500,1736500
Pimpri Kadu,Chandwad,5.32,Red,7,Agricultural,0,1,45,8.6,Borewell,4,4,0,75000,66500
Chandrapur,Yeola,9,Black,7,NA,0,0,59,6.2,Canal,3,0,0,219000,241500
Pale,Sinnar,20.29,Black,8,Residential,0,1,31,26.8,None,5,0,0,340000,373000
Umbarkhed,Sinnar,14.6,Black_Red_Mixed,8,Agricultural,0,1,62,21.4,Well,7,4,0,151000,144500
Abhona,Niphad,5.33,Black_Red_Mixed,8,Residential,1,1,73,15.3,Well,8,4,0,555000,570500
Palkhed,Niphad,15.12,Black_Red_Mixed,8,Agricultural,1,0,55,12.2,Borewell,5,1,0,306000,316500
Chandwad,Chandwad,17.24,Black_Red_Mixed,5,Agricultural,1,1,54,10.8,Borewell,7,5,0,82500,84000
Vadgaon,Nashik,6.56,Black,9,Commercial,0,0,38,25.6,Canal,10,4,1,2070000,1990500
Pimpri,Yeola,9.27,Red,3,Residential,0,1,80,1.6,Borewell,5,3,0,243000,231500
Thengode,Niphad,7.14,Red,4,Agricultural,0,0,21,18.7,Canal,3,2,0,189500,189000
Pimpalgaon Dohe,Chandwad,6.1,Red,4,NA,0,1,44,24.5,Borewell,2,3,0,124500,134500
Dwarka,Nashik,4.03,Red,4,Residential,0,0,44,15.4,Borewell,9,0,0,1169000,1213500
Watane,Niphad,4.11,Black,9,NA,0,0,32,21.3,River,3,5,0,365000,355500
Pimpalgaon Baswant,Niphad,3.61,Black,10,NA,1,1,61,26.7,Well,9,2,0,618500,652000
Devdhari,Sinnar,18.85,Black_Red_Mixed,8,Agricultural,1,0,14,6.3,Canal,6,2,0,245000,196000
Saptashringi,Chandwad,9.55,Black,9,Agricultural,1,0,91,22.5,Well,10,5,0,73000,79000
Pimpri,Yeola,6.3,Black,8,Commercial,0,1,69,11.2,Borewell,3,3,1,337500,296500
Gangapur,Nashik,22.45,Red,5,Agricultural,1,1,93,26.2,Borewell,5,2,1,477500,465500
Nandur Madhyameshwar,Sinnar,23.37,Red,6,Agricultural,0,1,74,5.1,None,3,5,0,111500,103000
Nashik Road,Nashik,12.86,Black_Red_Mixed,7,Agricultural,1,1,68,10.5,Well,6,0,1,560000,509000
Shirsathe,Sinnar,19.02,Black_Red_Mixed,5,NA,1,1,74,2.1,None,7,2,0,412000,445500
Pathardi,Nashik,3.81,Red,4,Agricultural,1,1,15,1.4,Borewell,3,1,0,718000,694500
Vinchur,Niphad,10.82,Black_Red_Mixed,6,Agricultural,0,1,43,21.8,River,4,3,1,182000,186500
Watane,Niphad,3.08,Black_Red_Mixed,7,NA,1,1,43,17.4,Canal,6,5,0,549000,547000
Jategaon,Sinnar,13.12,Black,8,Agricultural,0,1,52,28.2,Well,7,0,1,151000,156000
Pathardi,Nashik,2.89,Black,8,Residential,0,1,69,27.2,None,9,4,0,847000,851500
Khamgaon,Yeola,14.27,Black,8,Agricultural,1,1,18,23.3,None,1,3,0,75500,68500
Vadgaon,Nashik,11.96,Black,9,Agricultural,0,1,72,27.8,Well,4,3,0,441500,472500
Adgaon,Nashik,15.36,Black,8,NA,1,1,22,2.6,River,1,1,0,1675000,1617000
Satpur,Nashik,23.38,Red,4,Commercial,0,0,27,8.8,River,6,5,0,1916500,1707500
Saundane,Niphad,8.42,Black,7,Commercial,1,1,34,23.7,None,8,0,0,812000,787500
Pimpalgaon Khamb,Nashik,2.02,Black_Red_Mixed,6,Agricultural,1,0,92,23.3,Canal,8,4,0,507500,561000
Nandur,Nashik,21.34,Black_Red_Mixed,8,Residential,1,1,47,19.6,River,7,1,0,1744000,1848000
Nampur,Yeola,5.46,Black_Red_Mixed,6,Agricultural,0,1,28,3.3,Well,3,5,0,83000,81000
Nampur,Yeola,14.59,Black_Red_Mixed,8,Agricultural,1,1,95,16.6,Canal,4,3,0,139500,136000
Nandur,Nashik,4.99,Black,7,Residential,1,1,73,14,None,6,3,0,978000,956000
Vadgaon,Nashik,16.55,Red,7,Residential,0,1,31,28.6,Well,8,2,0,1237000,1417000
Mangi,Chandwad,12.94,Black_Red_Mixed,7,Commercial,1,1,11,19,River,10,2,0,356500,366000
Mhasrul,Niphad,5.24,Black,9,Agricultural,1,1,88,27.8,Borewell,1,3,1,261500,269500
Tarsa,Sinnar,13.59,Red,3,Agricultural,0,1,18,14.3,None,8,4,0,87000,93500
Kelzar,Chandwad,5.77,Black,7,Residential,1,1,60,8,Canal,1,1,1,207500,211000
Nandur,Nashik,0.31,Black,7,Residential,0,1,79,28.2,Borewell,5,4,0,1261500,1238500
Panchak,Nashik,5.53,Black_Red_Mixed,7,Residential,1,1,59,16.9,Well,9,5,0,1179500,1163500
Wadivarhe,Sinnar,8.39,Black,10,Agricultural,0,1,43,5.2,Borewell,5,3,0,218500,217500
Dwarka,Nashik,9.2,Red,5,Agricultural,1,1,18,2.4,Borewell,2,0,1,630000,628500
Abhona,Niphad,24.14,Black,10,Agricultural,1,1,78,14,Borewell,10,2,0,366500,385000
Satpur,Nashik,8.99,Black,8,Agricultural,0,0,89,24.2,River,2,0,0,503500,505500
Pimpalgaon Khamb,Nashik,20.43,Black_Red_Mixed,8,Commercial,1,1,53,25.6,River,7,0,1,3131500,3292000
Pimpri,Yeola,5.51,Black,10,Residential,1,0,39,25.1,None,8,4,0,138500,137500
Peth,Nashik,5.18,Black,10,Agricultural,1,0,95,28,Canal,7,5,1,450500,453000
Thergaon,Chandwad,2.36,Red,7,Agricultural,1,1,70,14.9,None,6,0,0,76000,65500
Karanjwan,Niphad,6.34,Black_Red_Mixed,8,Agricultural,1,0,48,20,None,5,3,1,138000,147000
Vadgaon,Nashik,24.54,Red,5,Agricultural,0,0,12,0.9,Borewell,3,5,0,392000,401500
Mhasrul,Niphad,15.17,Red,5,Agricultural,1,1,50,26.7,Borewell,4,4,1,203500,217500
Pathardi,Nashik,7.96,Red,7,Commercial,0,1,83,26.1,Canal,9,5,0,2685500,2141000
Harsul,Chandwad,7.97,Red,3,NA,0,0,18,2.9,None,1,0,1,77000,88500
Devpur,Niphad,10.3,Black,8,NA,1,1,20,10.1,Borewell,10,5,1,442500,438000
Sinnar,Sinnar,11.89,Black_Red_Mixed,6,Agricultural,1,1,75,7.2,Well,9,2,0,234000,252000
Karanjkhed,Yeola,12.44,Black,10,Agricultural,1,0,77,8.9,Borewell,10,3,1,103000,95500
Adgaon,Nashik,15.51,Red,6,Agricultural,1,0,24,12.2,Borewell,5,5,0,431500,450000
Darna,Niphad,3.22,Black_Red_Mixed,6,Residential,0,0,15,22,Canal,3,1,0,522500,484000
Niphad,Niphad,16.38,Black_Red_Mixed,5,Agricultural,0,1,28,21.8,River,6,2,1,182000,174000
Pimpalgaon Khamb,Nashik,17.09,Black_Red_Mixed,6,Residential,0,1,34,26.1,None,4,3,0,805000,913000
Deolali,Nashik,6.49,Black_Red_Mixed,6,Agricultural,1,0,68,15.8,Borewell,2,2,0,528500,521500
Vadgaon,Nashik,19.28,Black_Red_Mixed,5,NA,0,1,67,6.1,None,8,3,0,607000,616000
Ozar,Nashik,22.64,Black,8,NA,1,1,80,15.3,None,2,2,0,859000,911500
Saikheda,Sinnar,6.98,Black_Red_Mixed,7,Residential,0,1,23,7.3,Borewell,4,5,1,334000,345500
Kelzar,Chandwad,20.03,Black_Red_Mixed,6,NA,1,0,12,9.9,Canal,9,3,0,168500,170500
Ozar,Niphad,4.89,Black_Red_Mixed,8,Agricultural,1,1,90,12.1,River,10,4,0,325500,334000
Watane,Niphad,15.71,Red,5,Agricultural,0,1,40,16,Well,7,4,0,179500,209500
Darna,Niphad,22.42,Black,7,Agricultural,1,1,19,3.2,None,9,3,0,226500,225500
Mhasrul,Nashik,5.66,Black,9,Agricultural,1,0,45,19.3,None,4,0,0,411000,417000
Ambad,Nashik,2.56,Black,8,Agricultural,1,1,94,22.7,River,8,1,0,729500,783000
Nandgaon,Chandwad,2.45,Black_Red_Mixed,7,Agricultural,1,1,67,16.7,Borewell,2,5,0,86500,93000
Kherwadi,Sinnar,4.51,Black,7,Residential,0,0,26,8.9,Borewell,8,1,0,430500,466500
Ozar,Niphad,9.32,Red,5,Residential,1,1,30,14.3,Borewell,6,0,0,649000,678000
Umbarkhed,Sinnar,2.94,Red,4,Agricultural,1,1,99,24.4,Borewell,9,5,0,176000,162000
Jategaon,Sinnar,22.5,Red,5,Residential,0,1,78,19.8,Borewell,8,3,0,414000,461500
Shedbol,Yeola,7.16,Black,8,Commercial,1,1,35,12.2,Well,9,3,1,326500,300500
Nandgaon,Chandwad,19.97,Black,7,Agricultural,1,1,24,16.8,Well,10,5,0,75500,77000
Mhasrul,Niphad,4.7,Red,4,Agricultural,0,1,79,26.5,Borewell,9,0,0,235000,222500
Pale,Sinnar,6.71,Black_Red_Mixed,6,Agricultural,1,1,27,24.1,Borewell,2,4,0,190500,189500
Vadgaon,Nashik,18.09,Black_Red_Mixed,7,Agricultural,1,1,53,1,River,1,5,0,705000,721000
Chandwad,Chandwad,2.32,Black,7,Agricultural,0,1,22,13.2,None,6,0,0,56500,58000
Wakad,Yeola,0.89,Black,9,Agricultural,1,1,74,19.4,River,5,1,0,150000,150000
Wakad,Yeola,16.79,Black_Red_Mixed,7,Agricultural,1,0,32,24.7,Borewell,10,0,0,113000,126000
Pimpalgaon Khamb,Nashik,11.01,Black,7,Agricultural,0,0,54,19.1,Borewell,9,2,0,409000,422000
Panchak,Nashik,3.29,Black_Red_Mixed,7,Agricultural,1,1,16,11,River,10,3,0,627000,616500
Nandur Madhyameshwar,Sinnar,15.72,Black,8,Agricultural,1,1,68,18.6,River,1,4,0,228000,243500
Raipur,Chandwad,4.82,Black,9,Residential,1,1,42,25.1,Borewell,9,4,0,193000,209000
Pathardi,Nashik,24.06,Black_Red_Mixed,8,Agricultural,1,1,58,21.6,Borewell,2,3,0,606500,554500
Palkhed,Niphad,3.75,Black_Red_Mixed,7,Residential,1,1,95,21.9,Well,3,0,0,672000,700000
Gangapur,Nashik,9.36,Black_Red_Mixed,8,Agricultural,0,1,20,13.9,Borewell,7,2,1,407000,427000
Mulegaon,Sinnar,9.03,Red,5,Residential,0,1,39,21.7,Well,9,5,0,320500,314000
Niphad,Niphad,16.8,Black_Red_Mixed,7,Agricultural,0,0,83,28.8,Canal,1,1,0,236500,259500
Waghad,Nashik,17.51,Black_Red_Mixed,7,Agricultural,1,1,99,1.9,Canal,1,2,0,800000,791500
Saundane,Niphad,6.16,Red,4,Commercial,1,0,77,7.8,Well,2,3,0,806000,813000
Pachegaon,Yeola,2.48,Black_Red_Mixed,8,Agricultural,1,1,79,1.5,None,4,4,0,98500,97500
Malegaon,Sinnar,5.62,Black_Red_Mixed,7,Commercial,0,1,14,21.7,None,10,4,0,450500,451000
Saptashringi,Chandwad,2.61,Red,6,Residential,1,1,11,0.4,Borewell,1,0,0,250000,231000
Vadgaon,Nashik,3.02,Black,7,Agricultural,1,1,99,15,River,10,0,1,631500,568000
Chandwad,Chandwad,22.09,Black_Red_Mixed,8,Agricultural,1,0,17,2.4,Canal,2,4,0,104000,115500
Saikheda,Sinnar,13.6,Black,10,Agricultural,0,0,27,22.7,Well,3,5,0,125000,117500
Kasarwadi,Niphad,12.77,Black,10,Agricultural,0,0,42,28,Canal,5,1,0,252500,235000
Deolali,Nashik,20.78,Black_Red_Mixed,7,Agricultural,1,1,15,15.6,Borewell,3,3,0,576000,489000
Lasalgaon,Niphad,23.61,Red,3,Agricultural,0,1,87,2.7,None,1,3,0,159000,152000
Trimbak Road,Nashik,23.52,Black,8,Residential,0,1,16,24.5,Canal,3,3,0,1426000,1294000
Kotamgaon,Nashik,10.76,Black_Red_Mixed,6,NA,1,1,47,22.5,Borewell,4,2,1,947500,1056500
Mhasrul,Niphad,24.63,Red,5,Agricultural,1,1,80,22.1,Canal,7,0,0,351000,376000
Wavi,Sinnar,18.17,Black,9,Agricultural,1,1,16,15.3,None,10,5,0,134500,128000
Panchak,Nashik,4.75,Black,10,Commercial,1,0,86,21.2,Canal,7,4,0,3040000,3519500
Anandwalli,Nashik,20.8,Black_Red_Mixed,8,Agricultural,1,0,56,17.4,Canal,10,1,0,640500,684500
Tarsa,Sinnar,0.78,Black_Red_Mixed,7,NA,1,1,32,26.7,Borewell,4,2,0,516000,504500
Khamgaon,Yeola,10.25,Black_Red_Mixed,5,Agricultural,1,1,70,4.7,Canal,8,3,1,115500,95500
Kasbe Sukene,Niphad,4.55,Black,8,Agricultural,0,1,87,27.2,Canal,9,1,0,287500,333500
Sinnar,Sinnar,20.94,Red,3,Residential,1,1,25,29.4,None,10,4,0,241500,218000
Vinchur,Niphad,10.3,Red,7,NA,1,0,80,11.5,Well,7,5,0,425500,376500
Yeola,Yeola,14.15,Red,3,NA,1,0,34,24.2,Well,6,0,0,173000,185500
Abhona,Niphad,10.12,Black,9,Residential,0,1,13,25,Borewell,4,0,0,665000,778500
Pimpri Kadu,Chandwad,15.11,Red,6,Agricultural,0,1,59,15.2,Borewell,4,4,0,68000,74500
Chandwad,Chandwad,1.44,Black,7,NA,0,0,87,2.3,River,1,3,0,167000,173500
Mhasrul,Niphad,5.1,Black_Red_Mixed,8,NA,1,0,57,6.7,Borewell,1,3,0,571000,595000
Devdhari,Sinnar,4.27,Black_Red_Mixed,8,Residential,1,1,62,20.2,Canal,6,0,0,600000,600000
Watane,Niphad,18.19,Red,6,Commercial,1,1,87,2.1,River,1,3,1,1131000,1191000
Pale,Sinnar,1.91,Black,8,Agricultural,0,0,50,10.8,None,4,2,1,90500,92500
Ozar,Nashik,13.73,Black,7,Agricultural,1,1,96,3.1,Canal,1,3,0,800000,800000
Vithapur,Yeola,20.67,Red,5,Agricultural,1,1,54,11.3,Borewell,8,0,1,110500,110000
Tarsa,Sinnar,6.8,Black,8,Residential,0,0,60,8.9,Borewell,2,3,0,416000,394000
Mangi,Chandwad,11.43,Black_Red_Mixed,5,Agricultural,1,1,69,22.3,Well,9,1,1,74000,72500
Vadner,Niphad,16.07,Red,7,Agricultural,0,1,43,15.6,None,3,4,0,140000,123500
Umrane,Yeola,19.66,Black_Red_Mixed,8,Agricultural,1,1,79,7.4,Borewell,9,1,0,150000,149000
Pimpri Kadu,Chandwad,0.97,Black,10,Commercial,0,1,85,16.4,Canal,7,5,1,278000,259000
Watane,Niphad,17.58,Black_Red_Mixed,8,Agricultural,1,1,28,25.8,Borewell,1,3,0,291500,269000
Vadner,Niphad,4.72,Black_Red_Mixed,7,NA,0,1,94,11,River,9,3,1,412000,417000
Devdhari,Sinnar,14.34,Black_Red_Mixed,6,Agricultural,1,1,60,29.1,River,1,4,0,203500,223500
Kadwa,Yeola,6.07,Black_Red_Mixed,7,Residential,1,1,26,26.8,Borewell,6,0,1,225500,240000
Wadangali,Sinnar,16.64,Black_Red_Mixed,7,Agricultural,0,0,87,10.2,River,9,4,0,158000,140500
Tarsa,Sinnar,8.83,Black_Red_Mixed,8,Commercial,1,0,93,13.3,Well,3,1,1,660500,614500
Nandur,Nashik,12.07,Black_Red_Mixed,6,Agricultural,1,0,19,28.9,Borewell,8,3,0,452000,482000
Waghad,Nashik,3.96,Black_Red_Mixed,8,Agricultural,1,0,26,9.7,Canal,8,5,0,523000,487000
Mungse,Sinnar,17.12,Black,8,NA,1,1,99,8.2,Borewell,6,3,0,592000,582500
Shirsathe,Sinnar,14.34,Black,7,Agricultural,1,0,53,25.6,Borewell,3,4,0,173500,180000
Kherwadi,Sinnar,3.72,Red,7,Agricultural,1,1,27,20.5,River,5,3,1,182500,170000
Mhasrul,Nashik,13.77,Red,7,Commercial,0,0,20,20.6,None,3,4,0,1378000,1388000
Umrane,Yeola,4.65,Red,6,Agricultural,1,1,85,6.7,Canal,6,4,0,134500,122000
Saikheda,Sinnar,5.78,Red,7,Agricultural,1,1,13,28.6,Well,5,3,1,154500,148000
Sinnar,Sinnar,15.34,Red,5,Residential,0,0,90,18.7,None,9,4,0,221500,226500
Umrane,Yeola,15.08,Black,8,Agricultural,1,1,44,23.8,Borewell,6,1,0,133000,118000
Saundane,Niphad,11.48,Black,9,Agricultural,0,0,89,26.6,River,8,5,1,160000,165000
Wadangali,Sinnar,20.02,Black_Red_Mixed,7,Agricultural,1,0,29,20.9,Canal,2,2,1,171500,171500
Manur,Yeola,19.46,Black,10,NA,1,0,85,15.8,Canal,10,5,1,181500,188500
Yeola,Yeola,6.97,Black,9,Agricultural,1,1,81,24.3,River,7,3,0,133500,135500
Panchak,Nashik,12.78,Red,6,Agricultural,0,1,27,14.8,Well,6,5,1,286500,314000
Trimbak Road,Nashik,18.39,Black_Red_Mixed,7,Residential,0,1,88,8.7,Canal,5,4,1,1211500,1222000
Pimpri Kadu,Chandwad,24.64,Black,7,Residential,0,1,57,19.2,Canal,4,0,1,185000,179500
Chandori,Niphad,20.03,Red,3,Agricultural,0,1,76,6.2,Canal,9,5,0,213000,215000
Saundane,Niphad,7.29,Black_Red_Mixed,8,Agricultural,1,1,28,15,None,4,3,0,198500,206000
Shirsathe,Sinnar,18.05,Black,10,Agricultural,0,1,75,29.5,River,6,2,0,208000,208500
Raipur,Chandwad,5.66,Red,7,Residential,0,0,18,3.9,Canal,1,5,0,162500,163000
Pimpalgaon Baswant,Niphad,18.52,Red,7,Agricultural,0,0,80,13.9,Borewell,3,3,0,205500,195500
Shedbol,Yeola,4.63,Black,9,Agricultural,0,1,56,16.9,Borewell,3,3,0,98500,94000
Nandur Madhyameshwar,Sinnar,8.3,Black_Red_Mixed,8,Agricultural,1,0,23,11.8,Canal,3,5,0,190500,172000
Watane,Niphad,4.59,Black_Red_Mixed,6,Agricultural,1,1,82,19.7,None,1,2,0,199500,224000
Darna,Niphad,22.76,Black,10,Residential,1,1,51,19.8,Canal,5,1,0,800000,730500
Vadner,Niphad,8.3,Black,8,Residential,1,1,50,16.7,Well,7,0,0,675500,642500
Malegaon,Sinnar,5.67,Red,5,Agricultural,0,1,42,17.4,None,8,4,0,95500,90500
Kasbe Sukene,Niphad,15.19,Red,7,Agricultural,0,0,18,4.9,Well,10,3,0,198500,211000
Nandgaon,Chandwad,5.55,Black_Red_Mixed,7,Agricultural,1,1,76,7.4,Borewell,2,1,0,120000,117500
Deolali,Nashik,13.81,Black,7,Agricultural,1,1,97,26.6,Canal,9,4,0,612000,665500
Chandanpuri,Sinnar,16.77,Black,8,NA,1,0,15,6.1,Borewell,5,1,1,441500,420500
Jategaon,Sinnar,21.42,Black_Red_Mixed,5,Agricultural,0,1,36,26.2,Canal,2,0,0,192000,195500
Mulegaon,Sinnar,19.54,Black_Red_Mixed,7,NA,0,0,45,19.6,River,4,0,0,402000,378500
Niphad,Niphad,14.52,Red,3,Agricultural,1,0,24,4.4,Borewell,3,5,0,214500,246500
Chandori,Niphad,21.7,Red,6,Agricultural,1,0,24,18.2,River,2,0,0,287500,263500
Gangapur,Nashik,22.85,Black,7,Agricultural,1,1,77,22.8,None,4,4,0,363500,371500
Saundane,Niphad,14.4,Black_Red_Mixed,7,Agricultural,0,0,93,26.3,River,9,0,0,242500,253500
Pimpalgaon Rotha,Yeola,2.74,Black,10,NA,0,1,11,17.3,Well,3,1,0,194500,200000
